Business Name,Address Line 1,Address Line 2,Address Line 3,Postcode,Business Type ID,Business Type Description,Food Hygiene Rating Scheme ID,Food Hygiene Rating Scheme Type,Hygiene Score,Structural Score,Confidence In Management Score,Rating Value,Rating Date,New Rating Pending,Local Authority Business ID,Local Authority Code,Local Authority Name,Local Authority Email Address,Local Authority Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Organisation URI,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj
Wafflelollies.co.uk,,,,,7841,Other catering premises,1085441,FHRS,0,0,0,5,04/10/2018,False,183702,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Hotel Chocolat,"Unit Cg04b Western Concourse, Kings Cross Railway Station",Euston Road,,N1 9AP,4613,Retailers - other,470876,FHRS,0,0,0,5,25/06/2018,False,74321,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Spence Bakery,,,,,7839,Manufacturers/packers,1029677,FHRS,5,5,5,5,26/01/2018,False,181235,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Yum Chaa,,1 Granary Square,,N1C 1FA,1,Restaurant/Cafe/Canteen,1068797,FHRS,5,10,5,4,22/06/2018,False,195001,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Oliver Bonas,Kings Cross Railway Station,Euston Road,,N1 9AP,4613,Retailers - other,1199661,FHRS,,,,Exempt,02/10/2019,False,196292,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Lakery Cakes LTD,,,,,7841,Other catering premises,1063480,FHRS,5,5,5,5,30/05/2018,False,193811,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Dezato,,53 Charlotte Street,,W1T 4PA,4613,Retailers - other,1152020,FHRS,0,10,20,1,09/05/2019,False,195869,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529413,181714,-0.136167,51.519531,Unknown,12/01/2020,"(51.519531, -0.136167)",http://opendatacommunities.org/id/london-borough-council/camden,2,10
The Tiffin Tin,,83 Mill Lane,,NW6 1NG,7844,Takeaway/sandwich shop,425704,FHRS,,,,3,21/08/2019,False,59812,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Gastronomic Gummies,,,,,4613,Retailers - other,1063482,FHRS,5,0,10,4,25/06/2018,False,194041,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Portland Food & Wine,Premier House,150 Southampton Row,,WC1B 5AL,4613,Retailers - other,425724,FHRS,5,10,5,4,08/08/2017,False,60198,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Albertine's Kitchen,,,,,4613,Retailers - other,1152030,FHRS,5,0,0,5,13/06/2019,False,196122,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
LDN CBD,,126 Camden Road,,NW1 9EE,1,Restaurant/Cafe/Canteen,1148918,FHRS,0,0,0,5,08/05/2019,False,195647,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,529245,184247,-0.137658,51.542324,Unknown,12/01/2020,"(51.542324, -0.137658)",http://opendatacommunities.org/id/london-borough-council/camden,4,26
Wagamama,,123 Kingsway,,WC2B 6PQ,1,Restaurant/Cafe/Canteen,516225,FHRS,0,5,0,5,21/05/2018,False,73568,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Salt Yard,,54 Goodge Street,,W1T 4NA,1,Restaurant/Cafe/Canteen,1174689,FHRS,,,,3,26/09/2019,False,197278,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529388,181679,-0.13654,51.519213,Unknown,12/01/2020,"(51.519213, -0.13654)",http://opendatacommunities.org/id/london-borough-council/camden,2,10
Holly Wholefoods,,,,,7844,Takeaway/sandwich shop,1109841,FHRS,10,10,20,1,28/02/2019,False,194039,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Marchmont Market,,33-37 Marchmont Street,,WC1N 1AA,4613,Retailers - other,426299,FHRS,10,5,10,3,08/01/2018,False,71275,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Notes,,1 Pancras Square,,N1C 4AG,1,Restaurant/Cafe/Canteen,765123,FHRS,5,5,0,5,21/07/2017,False,83765,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
QC Bread,,,,,7846,Mobile caterer,1085439,FHRS,5,5,0,5,24/10/2018,False,183620,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
All About The Bakes,,,,,4613,Retailers - other,993180,FHRS,5,5,5,5,27/07/2017,False,181729,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Pretty sweet,,,,,7841,Other catering premises,1036606,FHRS,5,0,0,5,24/01/2018,False,84782,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Viet Eat,,48 Kingsway,,WC2B 6EN,1,Restaurant/Cafe/Canteen,726195,FHRS,,,,3,15/07/2019,False,77639,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Bonjour La Vie,,,,,7841,Other catering premises,907808,FHRS,5,5,10,4,16/11/2018,False,81137,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Bupa Baxter Storey,Bupa House,15-19 Bloomsbury Way,,WC1A 2DZ,1,Restaurant/Cafe/Canteen,425947,FHRS,0,5,0,5,07/11/2017,False,62296,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Baxter Storey @ Edexcel,Enterprise House,190 High Holborn,,WC1V 7BE,1,Restaurant/Cafe/Canteen,424942,FHRS,0,0,0,5,19/10/2017,False,41287,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Caffe Nero,,100-110 High Holborn,,WC1V 6QL,1,Restaurant/Cafe/Canteen,939501,FHRS,0,0,0,5,08/07/2019,False,81831,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Domino's Pizza,,166 High Holborn,,WC1V 6TT,1,Restaurant/Cafe/Canteen,426145,FHRS,0,0,5,5,27/02/2018,False,67816,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Impeccable Taste,,,,,7841,Other catering premises,425906,FHRS,5,0,0,5,02/10/2017,False,62043,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Asia Hut,,,,,7841,Other catering premises,907811,FHRS,10,10,10,3,26/11/2019,False,83482,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
M Simmonds,,4 Swain's Lane,,N6 6QS,4613,Retailers - other,424008,FHRS,,,,Exempt,11/12/2017,False,1906,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000137,Highgate,528322,186364,-0.150188,51.56156,Unknown,12/01/2020,"(51.56156, -0.150188)",http://opendatacommunities.org/id/london-borough-council/camden,10,68
Whisk And Drizzle,,,,,4613,Retailers - other,1109861,FHRS,0,0,0,5,05/02/2019,False,195384,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Swiss Cottage School,Swiss Cottage School,80 Avenue Road,,NW8 6HX,7845,School/college/university,543110,FHRS,0,5,5,5,12/09/2017,False,20080,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
Sushi Daily,,199 Finchley Road,,NW3 6NW,7844,Takeaway/sandwich shop,1199678,FHRS,0,5,0,5,09/10/2019,False,197233,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,12/01/2020,,http://opendatacommunities.org/id/london-borough-council/camden,,
